Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
1,team,A1,n.,/tiːm/,(游戏或运动的)队；(一起工作的)组，班,team member; team work; football team,Our team won the basketball match yesterday.,我们队昨天赢了篮球比赛。,group; crew,individual,team 像 TEAM——Together Everyone Achieves More(一起努力，成就更多)。
2,player,A1,n.,/'pleɪə(r)/,运动员；参赛选手,football player; basketball player; key player,He is the best player on the football team.,他是足球队里最好的运动员。,athlete; competitor,,play(玩)+ er(人)→ 玩运动的人 → 运动员。
3,him,A1,pron.,/hɪm/,他(宾格),tell him; give him; with him,Please give the book to him.,请把这本书给他。,,her,he 的宾格形式，用在动词或介词后面。
4,lovely,A2,adj.,/'lʌvli/,美丽的；优美的,lovely day; lovely girl; lovely weather,What a lovely garden you have!,你的花园真漂亮！,beautiful; pretty; charming,ugly,love(爱)+ ly → 让人喜爱的 → 美丽的。
5,clever,A2,adj.,/'klevə(r)/,聪明的；聪颖的,clever boy; clever idea; clever trick,She is clever enough to solve the puzzle.,她足够聪明，能解开这个谜题。,smart; intelligent; bright,stupid; foolish,clever 和 clean 都有 cl 开头，聪明的头脑是干净的。
6,young,A1,adj.,/jʌŋ/,幼小的；年轻的,young people; young child; young age,My grandfather looks very young for his age.,我爷爷看上去比实际年龄年轻很多。,youthful; junior,old; elderly,young 发音像羊，小羊代表年轻。
7,hard-working,A2,adj.,/ˌhɑːd 'wɜːkɪŋ/,工作努力的；辛勤的,hard-working student; hard-working employee,She is a hard-working student who always finishes her homework on time.,她是一个勤奋的学生，总是按时完成作业。,diligent; industrious,lazy,hard(努力)+ working(工作)→ 努力工作的 → 勤奋的。
8,science,A2,n.,/'saɪəns/,科学；自然科学,science class; science museum; computer science,I like science because we can do experiments.,我喜欢科学课，因为我们可以做实验。,,,sci(知道)+ ence → 探索知识的学科 → 科学。
9,robot,A2,n.,/'rəʊbɒt/,机器人,robot arm; robot vacuum; cleaning robot,The robot can help us do housework.,这个机器人可以帮我们做家务。,automaton; machine,,robot 发音像肉搏，机器人不怕肉搏。
10,jump,A1,v.,/dʒʌmp/,跳；跃,jump up; jump rope; jump over,The rabbit can jump very high.,那只兔子能跳得很高。,leap; hop; spring,,jump 像江普→ 跳过江，普通过。
11,rope,A2,n.,/rəʊp/,绳；粗绳,jump rope; climbing rope; rope ladder,We need a rope to tie the boat.,我们需要一根绳子来拴住船。,cord; cable; string,,rope 发音像肉铺，肉铺里用绳子挂肉。
12,piano,A2,n.,/pi'ænəʊ/,钢琴,play the piano; piano lesson; piano concert,She has been playing the piano since she was five.,她从五岁起就开始弹钢琴了。,keyboard,,piano 发音像皮阿诺，想象一个叫皮阿诺的人在弹钢琴。
13,chess,A2,n.,/tʃes/,国际象棋,play chess; chess game; chess board,My father taught me how to play chess.,我爸爸教我怎么下国际象棋。,,,chess 发音像拆斯，下棋就是拆解对方的策略。
14,front,A2,n.,/frʌnt/,前部,in front of; front door; front seat,There is a big tree in front of the house.,房子前面有一棵大树。,fore; foreground,back; rear,front 和 frontier(前线)同源，都在前面。
15,easy,A1,adj.,/'iːzi/,容易的；轻易的,easy to use; easy money; take it easy,This question is very easy to answer.,这个问题很容易回答。,simple; effortless,difficult; hard,easy 像 E-Z(容易)，像ABC一样简单。
16,star,A1,n.,/stɑː/,歌唱(或表演)明星,movie star; pop star; star player,She dreams of becoming a movie star one day.,她梦想有一天成为电影明星。,celebrity; idol,,star 本义是星星，引申为闪亮的明星。
17,wonderful,A2,adj.,/'wʌndəfl/,精彩的；绝妙的,wonderful time; wonderful news; wonderful view,We had a wonderful time at the party.,我们在派对上玩得很开心。,fantastic; excellent; marvelous,terrible; awful,wonder(奇迹)+ ful(充满)→ 充满奇迹的 → 精彩的。
18,Australia,A1,n.,/ɒ'streɪliə/,澳大利亚,in Australia; Australia Day; Western Australia,Kangaroos live in Australia.,袋鼠生活在澳大利亚。,,,Australia 发音像澳斯吹利亚，澳大利亚在南半球。
19,sad,A1,adj.,/sæd/,悲哀的；难过的,feel sad; sad story; sad news,She felt sad when her best friend moved away.,她最好的朋友搬走后，她很难过。,unhappy; sorrowful; upset,happy; glad,sad 三个字母，像眼泪流下的样子。
20,matter,A2,n.,/'mætə(r)/,事情；问题,What's the matter?; no matter; a matter of,What's the matter with you? You look pale.,你怎么了？你脸色苍白。,issue; problem; affair,,matter → What's the matter? 是最常用的关心用语。
21,project,A2,n.,/'prɒdʒekt/,项目；方案,school project; project plan; project manager,We are working on a science project together.,我们正在一起做一个科学项目。,plan; task; assignment,,pro(向前)+ ject(投掷)→ 向前推进的事情 → 项目。
22,centre,A2,n.,/'sentə(r)/,中心,city centre; shopping centre; sports centre,The shopping centre is in the middle of the city.,购物中心在市中心。,middle; core; heart,edge; border,centre(英式拼写)= center(美式拼写)，意思相同。
23,agree,A2,v.,/ə'griː/,同意；赞成,agree with; agree to; agree on,I agree with you that we should leave early.,我同意你的看法，我们应该早点出发。,consent; approve; accept,disagree; refuse,agree with + 人；agree to + 事；agree on + 协商的事。
24,finish,A1,v.,/'fɪnɪʃ/,完成；做好,finish homework; finish work; finish doing,I need to finish my homework before dinner.,我需要在晚饭前完成作业。,complete; end; conclude,start; begin,finish → fin(结束)+ ish → 把事情做完。
